上次交易,交易权属,产权所属,单价,售价,套内面积,建筑类型,建筑结构,建筑面积,户型结构,房屋年限,房屋户型,房屋朝向,房屋用途,房本备件,房源核验码,所在楼层,抵押信息,挂牌时间,标题,梯户比例,装修情况,详情页,配备电梯,别墅类型
交易权属,2022-05-29,2012-12-12,47653,469,暂无数据,板楼,混合结构,98.42㎡,平层,上次交易,3室2厅1厨2卫,南,商品房,普通住宅,,中楼层 (共30层),房屋用途,挂牌时间,店长推荐：三房两卫，全南户型，楼间距大，视野采光好,一梯两户,精装,https://su.lianjia.com/ershoufang/107105227907.html,有,
交易权属,2022-06-05,2019-12-02,25629,153,暂无数据,板楼,钢混结构,59.7㎡,平层,上次交易,2室1厅1厨1卫,南,商品房,普通住宅,,低楼层 (共7层),房屋用途,挂牌时间,20万自住精装修 一楼大院子 采光好 全屋防水已做不潮,一梯两户,精装,https://su.lianjia.com/ershoufang/107105257702.html,无,
交易权属,2022-06-04,2019-07-26,28995,335,暂无数据,板楼,钢混结构,115.54㎡,平层,上次交易,3室2厅1厨2卫,南,商品房,普通住宅,,高楼层 (共33层),房屋用途,挂牌时间,湖景房凤凰层，户型方正通透，全天采光视野好！不靠路,两梯四户,精装,https://su.lianjia.com/ershoufang/107105250294.html,有,
交易权属,2022-06-07,1998-06-07,24734,167,暂无数据,板楼,混合结构,67.52㎡,平层,上次交易,2室1厅1厨1卫,南,商品房,普通住宅,,低楼层 (共6层),房屋用途,挂牌时间,精装修 带院子 拎包入住 交通便利 生活配套成熟,一梯两户,精装,https://su.lianjia.com/ershoufang/107105269554.html,无,
交易权属,2022-06-06,2008-08-29,22784,130,暂无数据,板楼,钢混结构,57.06㎡,平层,上次交易,2室1厅1厨1卫,南,商品房,普通住宅,,低楼层 (共5层),房屋用途,挂牌时间,全明户型，带独立自行车库一个，急售,一梯两户,精装,https://su.lianjia.com/ershoufang/107105265047.html,无,
交易权属,2022-06-02,2016-01-07,19337,162,暂无数据,塔楼,钢混结构,83.78㎡,平层,上次交易,3室2厅1厨1卫,南,商品房,普通住宅,,高楼层 (共11层),房屋用途,挂牌时间,伟业小高层，精装三房，满五唯一，视野好，看房方便,两梯三户,精装,https://su.lianjia.com/ershoufang/107105245885.html,有,
交易权属,2022-05-31,2019-03-06,21523,285,暂无数据,板楼,钢混结构,132.42㎡,平层,上次交易,3室2厅1厨2卫,南,商品房,普通住宅,,高楼层 (共33层),房屋用途,挂牌时间,红庄地铁口4号，纯毛坯，房东诚心，看房有钥匙。,两梯四户,毛坯,https://su.lianjia.com/ershoufang/107105233000.html,有,
交易权属,2022-05-29,2012-12-13,8736,120,暂无数据,暂无数据,钢混结构,137.37㎡,平层,上次交易,3室2厅1厨2卫,南,商品房,普通住宅,,高楼层 (共11层),房屋用途,挂牌时间,毛坯房 ，随意装修， 房型格局好，得房率高，采光好,一梯两户,毛坯,https://su.lianjia.com/ershoufang/107105227183.html,暂无数据,
交易权属,2022-05-29,2015-05-15,36554,630,暂无数据,板楼,钢混结构,172.35㎡,平层,上次交易,3室2厅1厨2卫,南,商品房,普通住宅,,中楼层 (共29层),房屋用途,挂牌时间,吴宫丽都大平层  精装修带地暖 一梯一户 私密性强,两梯两户,精装,https://su.lianjia.com/ershoufang/107105227383.html,有,
交易权属,2022-06-06,2016-06-24,20919,97.5,暂无数据,板楼,钢混结构,46.61㎡,平层,上次交易,1室1厅1厨1卫,南,商品房,普通住宅,,中楼层 (共5层),房屋用途,挂牌时间,房东正常变现，精装修，带家电家具，带车库，可养老,一梯两户,精装,https://su.lianjia.com/ershoufang/107105264038.html,无,
交易权属,2022-06-09,2019-04-25,18688,104.8,暂无数据,板楼,混合结构,56.08㎡,平层,上次交易,2室1厅1厨1卫,南,商品房,普通住宅,,高楼层 (共6层),房屋用途,挂牌时间,盘溪新村 两房朝南 全新精装 全明户型,一梯两户,精装,https://su.lianjia.com/ershoufang/107105279294.html,无,
交易权属,2022-06-05,2013-08-12,14552,133,72.37㎡,板塔结合,未知结构,91.4㎡,平层,上次交易,2室2厅1厨1卫,南,商品房,普通住宅,,中楼层 (共18层),房屋用途,挂牌时间,精装大两房，中间楼层，品牌家电，房东保养很新。,两梯三户,精装,https://su.lianjia.com/ershoufang/107105257937.html,有,
交易权属,2022-06-01,2016-12-12,19231,175,74.2㎡,板楼,钢混结构,91㎡,平层,上次交易,3室2厅1厨1卫,南 北,商品房,普通住宅,,高楼层 (共18层),房屋用途,挂牌时间,边户三居室，适合一家三口或者带老人居住,两梯四户,精装,https://su.lianjia.com/ershoufang/107105238573.html,有,
交易权属,2022-06-02,2015-09-18,19797,245,暂无数据,板楼,钢混结构,123.76㎡,平层,上次交易,3室2厅1厨2卫,南 北,商品房,普通住宅,,中楼层 (共17层),房屋用途,挂牌时间,新出欧风丽苑，毛坯3房，南北双阳台，有钥匙满五唯一,两梯三户,毛坯,https://su.lianjia.com/ershoufang/107105241713.html,有,
交易权属,2022-06-03,2019-10-30,24445,207,暂无数据,塔楼,钢混结构,84.68㎡,平层,上次交易,3室2厅1厨1卫,南,商品房,普通住宅,,低楼层 (共32层),房屋用途,挂牌时间,全新装修 没有住过人 保养好 视野开阔 品牌家具家电,两梯六户,精装,https://su.lianjia.com/ershoufang/107105249620.html,有,
交易权属,2022-06-02,2005-11-22,22546,152,暂无数据,板楼,混合结构,67.42㎡,平层,上次交易,3室1厅1厨1卫,南,商品房,普通住宅,,中楼层 (共6层),房屋用途,挂牌时间,三元一村 三室两厅精装修 中间楼层 户型全明,一梯两户,精装,https://su.lianjia.com/ershoufang/107105243018.html,无,
